word,Translate
bir,One
hem,both
o,he
ela,hazel
gibi,like
mert,brave
her,each
ve,And
ne,What
iki,two
de,also
eski,old
”,”
ama,But
belki,maybe
ince,thin
hafif,light
vardı,there was
bazen,Sometimes
kadar,much
zaman,time
da,in
dar,narrow
bu,This 
bölüm,section
soğuk,cold
değil,not
an,moment
diye,saying
arasında,between
küçük,Small
–,–
usul,method
derin,deep
anda,at the moment
nasıl,How
başını,your head
gece,night
taş,stone
daha,more
tam,full
üzerinde,on
hafifçe,slightly
birbirine,each other
gülümsedi,smiled
bile,even    
birbirlerine,to each other
baktı,looked
sonra,later
el,hand
ile,with
verdi,gave
dedi,he said
ki,that
ela’nın,Ela's
gelen,incoming
sıcak,hot
geldi,came
ilk,first
dünya,World
suyun,of water
en,-most
sanki,as if
tatlı,sweet
nefes,breath
yavaş,slow
geliyordu,was coming
geri,back
güneş,sun 
sonu,end
adeta,almost
kelimeler,words
belirdi,appeared
adım,my name
duran,standing
serin,cool
genç,youth
tek,only
gün,day
dolu,full
yükselen,rising
gölgesinde,in the shadow
kim,who
neden,From where
tüm,all
sen,you
böyle,like this
canlı,live
güzel,Beautiful
tıpkı,just as
mırıldandı,muttered
elini,your hand
umut,hope
nerede,where
onlar,them
fısıldadılar,they whispered
şu,This
hayat,life
aynı,same
sevmek,to love
ele,hand
geniş,wide
karanlık,darkness
sabah,morning
parkın,of the park
rüzgâr,wind
kenarındaki,on the edge
gül,rose
beyaz,white
başladı,started
ikisi,the two
eliyle,with his hand
uzattı,extended
aldı,took
su,This
dönüp,turn around
yeni,new
damlaya,to the drop
arasından,from
dil,language
etrafa,around
hissetti,felt
pasajın,of the passage
kaldırıp,lift up
ucunda,at the tip
ettiler,they did
ağır,heavy
göze,to the eye
vakti,it's time
bütün,all
muazzam,enormous
ân,moment
ancak,however
sokak,street
altında,under
uzun,LONG
boylu,tall
eden,who makes
ses,sound
yandan,from the side
ışıkları,lights
heyecanla,excitedly
vuruyordu,was shooting
pazartesi,Monday
siyah,black
kısa,short
tebessüm,smile
gözlerinde,in your eyes
bilir,knows
hızla,quickly
dans,dance
hayatın,your life
sesler,sounds
salladı,shook
çünkü,Because
hissettiler,they felt
nehir,river
akışı,stream
kahkaha,laughter
bana,To me
gözyaşı,tears
mert’in,mert's
sert,hard
araya,put together
soru,question
kelimeleri,words
gerek,necessary
kalpler,hearts
birden,suddenly
lütfen,Please
geleceğe,to the future
uzanan,stretching
i̇lk,first
yükü,load
on,front
kanat,wing
i̇şte,at work
işte,at work
şimdi,Now
yürümek,to walk
yudum,sip
acı,angle
rüzgârın,of the wind
şehrin,of the city
demir,iron
aralarında,between them
hiç,none
şey,thing
gözleri,eyes
şeyi,thing
çiçek,flower
bahçesine,to the garden
kırmızı,red
tebessümle,with a smile
yaklaşırken,approaching
yere,to the ground
hızlı,fast
yükseldi,rose
gibiydi,was like
ardından,behind
banka,bank
deniz,sea
cebinden,out of pocket
çıkardığı,brought out
çay,tea
koydu,laid
nazikçe,gently
kedi,cat
adımlarla,in steps
selam,hi
peynir,cheese
çok,A lot
kuş,bird
arkalarında,behind them
ufak,small
sığ,shallow
çam,pine
hemen,immediately
kez,times
kalp,heart
hiçbir,no
cevap,reply
önlerinde,in front of them
yol,path
rengi,color
biri,someone
göl,goal
birbirlerinin,each other
boyunca,along
oyunu,game
nihayetinde,eventually
gerçek,real
üç,fly
puslu,misty
şehir,city
nazlı,coy
usulca,gently
gülerek,laughing
zili,bell
ritim,rhythm
ya,either
durdular,they stopped
yayılan,spreading
ayak,foot
“bazen,"""Sometimes"
başıyla,with his head
onayladı,approved
duyuruyordu,was announcing
nadiren,rarely
anımsadı,remembered
içi,intra-
loş,loess
metal,metal
başka,Another
kendi,own
yerde,on the ground
hepsi,all
öykü,story
fısıldıyordu,was whispering
fark,difference
renkli,colourful
ararsan,if you call
