Arabic Sentence,English Translation
نعم، هناك مسؤولية عربية;وهناك مسؤولية; فلسطينية ,"Yeah, there's Arab responsibility; there's Palestinian responsibility."
هل هذا يعني أنكم ستدعمون موقف سوريا؟,Does that mean you're gonna support Syria's position?
يأتي إلينا السواح من مختلف دول العالم، إلا أن أعلى نسبة منهم تأتي من أوروبا;,"The tourists come to us from different countries of the world, but the highest proportion of them come from Europe;"
ألم تكوني المرأة التي قلبت حياتي رأسا على عقب؟;,Weren't you the woman who turned my life upside down?
إنه لا يعرف إن كان ما يقرأ مقالا للرأي أو خبرا;,He doesn't know if he's reading an article of opinion or news;
إن الحمد الله نحمده ونستعينه ونستغفره,"Thank God we thank him, we help him, we forgive him."
يمكن أن يؤدي ذلك إلى صراع شامل;,This could lead to an all-out conflict;
لا بد أن أقول إنني لا أختار مواضيع كتبي وإنما هي التي تختارني,"I must say, I don't choose my book subjects, but she chooses me."
هذا ما;العالم ينتظره,That's what the world is waiting for.
عُين فى قسم الهيستولوجى بدلا من الجراحة العامة التي كان يحلم بها;,He was assigned to the hysterical department instead of the general surgery he had dreamed of;
لم أفعل شيئا غير لائق.. بل هو الذي هبط علينا دون موعد,I didn't do anything inappropriate... it was him who landed on us without a date.
مهمة هذه المصحة أن تساعد المرضى الميئوس من شفائهم,The mission of this facility is to help terminally ill patients recover.
العناق العلني في الضيعة قد يكون بين أب وابنه أو بين رجل ورجل ولكن أبدا ليس بين أب وابنته,"Public hugs in the estate may be between a father and his son or between a man and a man, but never between a father and his daughter."
شهدت محافظة عجلون خلال اليومين الماضيين تساقطا كثيفا للأمطار,"In the past two days, the governorate of Ajlon has witnessed heavy rains."
ربما كنت أريد أن أضع حاجزا بيني وبينك;,Maybe I wanted to put a barrier between you and me;
كان ذلك في العام ١٩٨٠ عندما كنت في زيارة للعاصمةالإيطالية;,It was 1980 when I was visiting the Italian capital;
أول ما نلاحظه هو تزايد نسبة الذكور مقارنة بنسبة الإناث;,The first thing we note is the increase in the proportion of males compared to females;
إنها مجنونة ولا تصلح له أبدا، وإذا تزوجها سيتحول;بيتهما إلى ساحة المعارك,"She's crazy and she's never good for him, and if he marries her, their house will turn into a battlefield."
إنهم ليسوا عربا في الأصل، وإنما استوطنوا في هذه البلاد منذ;مئات;السنين;,They're not Arabs at all. They've settled in this country for hundreds of years.
منعها من الخروج من المنزل أو إقامة أي صلة مع الناس,Stop her from getting out of the house or having any contact with people.
رئيس الوزراء نوري المالكي التقى عقب وصوله أمريكا أمس الثلاثاء بالرئيس الأمريكي جورج بوش في البيت الأبيض,Prime Minister Nuri al-Malki met following his arrival in America yesterday Tuesday with President George Bush of the United States at the White House.
كيف تصفين عملك كمراسلة صحافية في زمن الحرب؟,How do you describe your work as a wartime journalist?
أتوقع أنني لن ألقاك ما دمت رئيسا للوزراء، تماما كما حصل مع سلفك,"I guess I won't see you as long as you're Prime Minister, just like your predecessor."
أحس بأنى عرفتك من قبل فى أزمان قديمة، وإلا فكيف تفسرين هذا الانجذاب بيننا منذ اللحظة الأولى؟;,"I feel like I've known you before in ancient times, or how else do you explain this attraction between us from the very first moment?"
هؤلاء يكذبون ويقولون إننا شعب واحد;,They lie and say we're one people;
هو في الأربعين لكنه في صورة ابن العشرين;,He's 40 but in a 20-year-old picture;
هل هناك نية لضم لاعبين جدد لفريق النجف؟;,Is there any intention of including new players for the Najaf team?;
أعمل مدرسا للغة العربية في مدارس المحافظة منذ عام ١٩٩٥;,I have been a teacher of Arabic in provincial schools since 1995;
نام ليلته الأولى في هذه القرية قبل أكثر من عام;,He slept his first night in this village over a year ago;
هذا البيت ليس بيتك ولا أم لك فيه ولا أخ;,"This house is not your home, nor your mother in it, nor a brother;"
سوف اعلمه كيف يعتمد على نفسه وكيف يتوقف عن;الاعتماد علي,I'll teach him how to depend on himself and how to stop relying on me.
لم أره منذ خمس سنوات,I haven't seen him in five years.
نحو ستة آلاف عامل مناجم لقوا حتفهم خلال العام الماضي بسبب حوادث في الصين;,"About 6,000 miners have died over the past year from accidents in China;"
