word,quantity
you,10
&,8
i,7
i’m,6
a,5
old,4
good,4
light,4
time,4
short,3
clean,3
strong,3
weak,3
fish,3
body,3
foot,3
orange,3
the,3
week,3
chicken,3
home,3
house,3
doctor,3
police,3
train,3
yes,3
no,3
nature,3
ice,3
fall,3
day,3
second,3
morning,3
night,3
a,3
see,3
love,3
open,3
take,3
me,3
where,3
how,3
is,3
1,2
2,2
3,2
4,2
5,2
6,2
7,2
8,2
9,2
10,2
11,2
12,2
long,2
vs,2
wide,2
narrow,2
slow,2
fast,2
hot,2
cold,2
warm,2
cool,2
new,2
young,2
bad,2
wet,2
dry,2
happy,2
sad,2
beautiful,2
ugly,2
nice,2
rich,2
poor,2
expensive,2
cheap,2
high,2
low,2
soft,2
hard,2
deep,2
shallow,2
dirty,2
heavy,2
dark,2
dog,2
cat,2
bird,2
cow,2
pig,2
mouse,2
horse,2
coffee,2
tea,2
wine,2
beer,2
juice,2
water,2
milk,2
head,2
neck,2
face,2
hair,2
eye,2
nose,2
tooth,2
ear,2
tongue,2
back,2
toe,2
finger,2
hand,2
leg,2
arm,2
shoulder,2
heart,2
blood,2
brain,2
knee,2
bone,2
skin,2
clothing,2
colors,2
electronics,2
clock,2
fan,2
egg,2
cheese,2
bread,2
soup,2
cake,2
apple,2
banana,2
lemon,2
corn,2
rice,2
oil,2
sugar,2
salt,2
food,2
window,2
door,2
bathroom,2
garden,2
teacher,2
student,2
soldier,2
city,2
apartment,2
airport,2
station,2
bridge,2
hotel,2
restaurant,2
school,2
office,2
room,2
park,2
hospital,2
church,2
market,2
country,2
bank,2
half,2
river,2
mountain,2
rain,2
snow,2
tree,2
sun,2
moon,2
forest,2
sky,2
wind,2
flower,2
valley,2
lake,2
star,2
grass,2
leaf,2
sand,2
beach,2
fire,2
hill,2
numbers,2
million,2
people,2
mother,2
father,2
parent,2
baby,2
man,2
woman,2
family,2
neighbor,2
boy,2
girl,2
child,2
friend,2
person,2
pronouns,2
he,2
she,2
it,2
we,2
they,2
summer,2
spring,2
winter,2
season,2
race,2
sex,2
sign,2
year,2
month,2
hour,2
minute,2
afternoon,2
evening,2
transportation,2
car,2
bicycle,2
bus,2
boat,2
ship,2
verbs,2
work,2
play,2
walk,2
run,2
stop,2
think,2
eat,2
drink,2
learn,2
jump,2
watch,2
sit,2
stand,2
sleep,2
wake,2
up,2
win,2
lose,2
close,2
write,2
call,2
catch,2
throw,2
find,2
push,2
pull,2
carry,2
later,2
early,2
late,2
go,2
understand,2
need,2
help,2
wait,2
right,2
first,2
last,2
hungry,2
thirsty,2
much,2
her,2
