word,quantity
,76
àti,63
a,57
tí,55
ń,45
wa,43
pé,37
gbogbo,33
kí,33
ní,32
fi,26
ṣe,24
pẹ̀lú,23
ìtàn,22
ìfẹ́,21
ó,17
tó,17
mi,17
mo,16
ìmọ̀,16
ni,15
hàn,15
bí,15
láti,15
ayé,14
jẹ́,13
ìbáṣepọ̀,13
rí,12
kọ́,12
ìtara,12
mọ̀,12
àwọn,11
ẹ,11
ọkàn,10
ti,9
èdè,9
nínú,8
lè,8
sì,8
fún,8
dùn,7
ṣùgbọ́n,7
ìbànújẹ,7
yóò,7
ọ̀rọ̀,7
ẹ̀dá,7
mo,7
kò,7
jọ̀ọ́,6
ìmúlòlùfẹ́,6
nígbà,6
ṣiṣẹ́,6
sí,6
ìpinnu,6
kókó,6
má,6
kó,6
ìrìn,5
àjò,5
ọmọbinrin,5
máa,5
dé,5
bá,5
lọ,5
pẹlu,5
kún,5
i,5
sọ,5
jọ,5
ohun,5
àtàwọn,4
yí,4
yìí,4
rìn,4
o,4
ẹ,4
ọ̀rọ̀,4
meji,4
agbára,4
ọkan,4
emi,3
ọjọ́,3
kan,3
inú,3
àjọṣe,3
ọjà,3
ìlú,3
,3
wí,3
ìjà,3
máa,3
le,3
wọ́n,3
ìgbésẹ̀,3
gbóná,3
gbàdúrà,3
àwa,3
nípa,3
ìyìn,3
lórí,3
mẹ́ta,3
merin,3
di,3
pọ̀,3
àwọn,3
ẹ̀kọ́,3
wọn,3
ọmọde,2
ìbẹ̀rẹ̀,2
ọmọkùnrin,2
ọkan,2
ẹ̀mí,2
tuntun,2
ọ̀nà,2
àárọ̀,2
dá,2
padà,2
ìpẹ̀yà,2
ìfarapa,2
níbi,2
yarayara,2
bùrẹ́dì,2
lo,2
rẹ,2
n,2
ọti,2
tàì,2
àṣàrò,2
àkókò,2
alẹ́,2
ló,2
bẹ,2
gbóná,2
tútù,2
ọpọlọ,2
ojú,2
ìwọ,2
baba,2
iyá,2
àlàyé,2
àwòrán,2
orin,2
ṣàfihàn,2
ara,2
ati,2
ìmọ̀lẹ̀,2
kọ́,2
bàjẹ́,2
rárá,2
kò,2
sílẹ̀,2
bẹ́ẹ̀ni,2
agba,2
marun,2
mefa,2
meje,2
mejo,2
mesan,2
olódùmarè,2
ọ̀run,2
ìkanjú,2
ọti,2
tàì,2
dúdú,2
ọjọ́,2
ọ̀wẹ̀,2
ju,2
ìparí,2
wá,2
àkókò,2
jọ̀ọ́,2
ọ̀nà,2
ọjọ́,2
oṣù,2
gidi,2
ẹ̀yin,2
yín,2
àtẹ̀yìnwá,1
gíga,1
pípẹ̀,1
ká,1
mọ́lẹ̀,1
ajé,1
kọ́kọ́,1
ọ̀kan,1
kúkúrú,1
gbòòrò,1
àníyàn,1
lójú,1
lẹ́gbẹ̀ẹ́,1
àga,1
tàbìlì,1
àfihàn,1
ìyàwó,1
ẹranko,1
aja,1
ológbo,1
sáré,1
ọbẹ,1
se,1
gbọ́,1
bàbá,1
ọmọ,1
ṣàìfarapa,1
báwo,1
owó,1
olówó,1
olókìkí,1
àlàáfíà,1
àjọyọ̀,1
gbọ́dọ̀,1
àkíyèsí,1
dúró,1
báwo,1
sọ,1
jẹ,1
lọ,1
wá,1
mu,1
rí,1
gbọ́,1
owurọ,1
kí,1
ìtumọ̀,1
ta,1
òrò,1
láàárín,1
lágbára,1
yara,1
tutu,1
rẹ́rìn-ín,1
wo,1
rẹwa,1
ayọ̀,1
ọkùnrin,1
ṣé,1
nkan,1
àtijọ,1
sàgbékalẹ̀,1
fọwọ́sowọpọ̀,1
ẹbí,1
àfọwọ́kọ,1
ṣe,1
ọrẹ́,1
fiimu,1
ìja,1
àròsọ,1
méjì,1
àná,1
lónìí,1
ọ̀la,1
àṣeyọrí,1
látọ̀run,1
bí,1
sùn,1
jí,1
dákẹ̀dákẹ̀,1
fara,1
mọ́,1
,1
dún,1
mùsíkì,1
bata,1
tan,1
àpótí,1
orí,1
ilẹ̀,1
ọkọ,1
ayọkẹlẹ́,1
taya,1
rọrùn,1
pétrolu,1
un,1
dájú,1
ìfẹnukò,1
tàbí,1
kì,1
í,1
ìgbà,1
àti,1
ṣùgbọ́n,1
ní,1
lórí,1
sí,1
ìdánilẹ́kọ̀ọ́,1
ìdílé,1
mẹwa,1
osù,1
yá,1
ọdún,1
kọjá,1
àkókò,1
àgbára,1
àlàáfíà,1
gbé,1
sórí,1
ìfọkànsìn,1
àdáni,1
gẹ́gẹ́,1
ọmọde,1
fọ́jú,1
rẹ̀,1
ṣàn,1
ayọ̀,1
bínú,1
ẹ̀yin,1
ìwọ,1
gba,1
dára,1
yọ,1
buburu,1
kúrò,1
yẹn,1
ṣafihan,1
fọ̀,1
baje,1
irun,1
san,1
orí,1
ojú,1
pupa,1
ofeefee,1
búlúù,1
funfun,1
láìpẹ́,1
ìṣẹ́gun,1
tàn,1
ẹnu-ọna,1
pípẹ̀,1
kúkúrú,1
gíga,1
síi,1
oníròyìn,1
olókìkí,1
bẹ́ẹ̀ni,1
rárá,1
olùkọ́,1
ẹni,1
fọ́,1
marun…,1
àfihàn,1
orí,1
ojú,1
imu,1
ẹnu,1
eti,1
ọwọ́,1
ẹsẹ̀,1
ejika,1
ọkàn,1
ẹ̀jẹ̀,1
ọpọlọ,1
egungun,1
baba,1
iyá,1
ọmọkunrin,1
ọmọbinrin,1
ọkọ,1
aya,1
ọ̀rẹ́,1
lẹ́tà,1
ọ̀rọ̀,1
ìṣe,1
orúkọ,1
àpẹẹrẹ,1
àdúrà,1
ọlọ́run,1
ìṣòro,1
ọdún,1
ráyè,1
àyẹ̀wò,1
tọ́,1
mítà,1
sentimita,1
wákàtí,1
àpẹẹrẹ,1
mọ́lára,1
ẹnìyàn,1
láìpé,1
ẹtì,1
ọ̀ru,1
tútù,1
àárín,1
méjì,1
mẹ́ta,1
mẹwa,1
àdéhùn,1
àlàáfíà,1
ipá,1
kéré,1
kòfí,1
dàbí,1
fúnfun,1
darapọ̀,1
pàdé,1
orin,1
fiimu,1
àwòrán,1
ìkíni,1
iwájú,1
bọ́,1
kini,1
kejìlá,1
ìsẹ́jú,1
ìṣẹ́jú-aaya,1
wákàtí,1
ìtàn,1
àmì,1
jọwọ́,1
lè,1
gbọ́dọ̀,1
olùdarí,1
yé,1
ìfẹ́,1
èdè,1
ìmúlòlùfẹ́!,1
olùkà,1
bà,1
gbàgbé,1
mẹwa,1
pípẹ̀,1
kúkúrú,1
gíga,1
kéré,1
gbòòrò,1
dín,1
ńlá,1
kékèké,1
yarayara,1
gbóná,1
tútù,1
orúkọ,1
aja,1
ológbo,1
ẹja,1
ẹyẹ,1
malu,1
ẹlẹ́dẹ,1
òlùkọ́,1
akẹ́kọ̀ọ́,1
dókítà,1
agbẹjọ́rò,1
ẹbí,1
mú,1
amúlò,1
ka,1
sínú,1
alẹ́,1
ṣíṣe,1
nítorí,1
titi,1
lae,1
